HSCode,ShipperName,ShipperFullAddress,ShipperLocalDUNS,ShipperPanjivaID,ShipperCleanedStockTickers,ShipperOriginalFormat,NetWeightKg,ValueOfGoodsFOBUSD
0307490000,Pacific Freezing Company S.A.C.,AV. JAVIER PRADO ESTE 4065 SANTIAGO DE SURCO LIMA PERU,934170902,4963113,,PACIFIC FREEZING COMPANY S.A.C.,20220.0,32104.87
0306171100,La Fragata S.A.,"Carretera Base Naval El Salto Km. 7.5, Zarumilla, Tumbes, Peru",934832833,1159562,,LA FRAGATA S A,21220.0,140618.0
1604150000,Negocios Alimentarios Srl,CAL. MONTEGO BAY NRO. 135 URB. CHACARILLA SANTIAGO DE SURCO LIMA PERU,,38495350,,NEGOCIOS ALIMENTARIOS S.R.L.,20187.5,63576.0
1605540000,Produmar   Proveedora De Productos,"PASAJE FRANCO ALFARO, DPTO 201 URB.LAS MAGNOLIAS 3 SAN BORJA, LIMA S/N",,28469425,,PROVEEDORA DE PRODUCTOS MARINOS SOCIEDAD,8652.0,16438.8
0301110000,Bio Industrial Amazonas S.A.C.,CA. LOS ANGELES NRO. 609 (POR LA FABRICA DE POSTES DE LUZ) L,,23121921,,BIO INDUSTRIAL AMAZONAS S.A.C.,300.0,402.4
0303890000,Productora Andina De Congelados,CAR. TAMBOGRANDE KM. 2.1. MZA. C LO 05 Z.I. Z.INDUSTRIAL MUNICIPAL 1 P RA - SULLANA - SULLANA-PERU TELF.: 51-73508625,,45991342,,PRODUCTORA ANDINA DE CONGELADOS S.R.L.,26979.26,63671.06
0304890000,Marfrio   Vieira Peru S.A.,AV. EMILIO CAVENECIA 225 OF. 317 SAN ISIDRO LIMA - PERU,934967647,34136236,,MARFRIO - VIEIRA PERU S.A.,12721.08,115907.37
0304990000,Pesquera Hayduk S.A.,AV. MANUEL OLGUIN 501 INT. 701 URB. LIMA,,33511181,,PESQUERA HAYDUK S.A.,1657.1,14150.49
0304990000,Matarani Sociedad Anonima Cerrada,AV. FELIPE PARDO Y ALIAGA NRO. 699 INT. 601 A,,36700980,,MATARANI SOCIEDAD ANONIMA CERRADA,2965.36,19146.19
1604200000,Sr Export S.A.C.,JR. SANTA RITA NRO. 301 (2DA PARALELA AL CLUB REGATAS) LIMA,670386798,45870374,,INVERSIONES Y COMERCIO INTERNACIONAL S.R,7344.0,12060.0
0301110000,Yacurunas International Enterprise E.I.,JR. SAN MARTIN NRO.151 IQUITOS - MAINAS - LORETO,565944006,24982696,,YACURUNA'S INTERNATIONAL ENTERPRISE E.I.,300.0,134.75
0304890000,Altamar Foods Peru S.A.C.,AV. INDUSTRIAL MZA. R LOTE. 05 Z.I. ZONA INDUSTRIAL II (AL C,,28437527,,ALTAMAR FOODS PERU S.R.L.,15771.41,146729.1
0307490000,Productora Andina De Congelados,CAR. TAMBOGRANDE KM. 2.1. MZA. C LO 05 Z.I. Z.INDUSTRIAL MUNICIPAL 1 P RA - SULLANA - SULLANA-PERU TELF.: 51-73508625,,45991342,,PRODUCTORA ANDINA DE CONGELADOS S.R.L.,18000.0,16020.0
0306171200,Inversiones Prisco S A C,AV LA MOLINA 2830 URB EL SAUCE DE LA RINCO LA MOLINA LIMA PEROU,934997743,45995174,,INVERSIONES PRISCO  S.A.C.,16329.6,185000.0
0304890000,Corp. De Ingenieria De Refrigeracion,AV. LA MARINA N224 LIMA LIMA PERU,,44374049,,CORP DE INGENIERIA DE REFRIGERACION SRL,2275.0,5542.87
0304990000,Dexim Srl,II MANZANA A ZONA INDUSTRIAL PAITA PIURA SN,,1868398,,DEXIM SRL,1995.84,11541.38
1605540000,Costa Mira Sociedad Anonima Cerrada,AV. LOS DIAMANTES MZA. E LOTE. 01 Z.I. ZONA INDUSTRIAL PIURA,934955762,28783194,,COSTA MIRA SOCIEDAD ANONIMA CERRADA,22000.0,23400.0
0304990000,Consorcio Industrial El Pacifico Socieda,AV. LA MAR NRO. 638 INT. 703 LIMA - LIMA - MIRAFLORES - LIMA,934056094,28783010,,CONSORCIO INDUSTRIAL EL PACIFICO SOCIEDA,1795.45,14329.83
0304890000,Sercosta Sac,"AV. LAS CAMELIAS 491 OF. 402 LIMA, LIMA PROVINCE",,33505349,,SERCOSTA SAC,2222.6,13747.75
0304890000,Corp. De Ingenieria De Refrigeracion,AV. LA MARINA N224 LIMA LIMA PERU,,44374049,,CORP DE INGENIERIA DE REFRIGERACION SRL,5988.0,58260.0
0308190000,Import Export Li Sociedad Anonima Cerrad,AV. SAN LUIS NRO. 1986 DPTO. 306 RES. SAN BORJA LIMA - LIMA,,36843885,,IMPORT EXPORT LI SOCIEDAD ANONIMA CERRAD,210.0,4200.0
1605540000,Inversiones Holding Peru Sociedad Anonim,MZA. V LOTE. 1D Z.I. II PIURA - PAITA - PAITA,934925125,28287918,,INVERSIONES HOLDING PERU SOCIEDAD ANONIM,67200.0,148865.0
0301110000,Aquarium Panduro E.I.R.L.,JR. RICARDO PALMA NRO. 360 LORETO - MAYNAS - IQUITOS,,35552768,,AQUARIUM PANDURO E.I.R.L,100.0,3024.0
0307490000,Kampo Marino Peru S.R.Ltda.,AV. SAN JOSE NRO. 577 URB. SAN JOSE (COSTADO CLINICA SAN JOS,,23122606,,KAMPO MARINO PERU S.R.LTDA.,2151.0,3630.29
0307490000,Pacific Freezing Company S.A.C.,AV. JAVIER PRADO ESTE 4065 SANTIAGO DE SURCO LIMA PERU,934170902,4963113,,PACIFIC FREEZING COMPANY S.A.C.,3780.0,6001.83
0307291000,Acuacultura Y Pesca Sac,AV. RICARDO ELIAS APARICIO 141 14 RES. RINCONADA ALTA,934766726,33930710,,ACUACULTURA Y PESCA S.A.C,10000.0,102453.78
0306171100,Aquatropical S.A.C,CAL.7 DE ENERO NRO. 470 (AL FRENTE LADO IZQ REST. COLCHADO)T,,34664487,,AQUATROPICAL S.A.C,14280.0,73220.0
